[2021-02-11T12:53:12.442] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:53:27.313] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:53:27.316] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:53:58.482] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:53:58.486] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:54:26.998] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:54:27.011] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:54:33.508] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:54:33.512] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:55:00.917] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:55:00.922] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:57:13.808] [ERROR] main -  [ERROR] [database]: could not create user collection Error:  undefined
[2021-02-11T12:57:13.814] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:57:35.648] [ERROR] main -  [ERROR] [database]: could not create user collection Error:  undefined
[2021-02-11T12:57:35.657] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:57:49.944] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:57:49.947] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:58:05.036] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:58:05.041] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:58:25.433] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T12:58:25.436] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:01:37.760] [ERROR] main -  [ERROR] [database]: could not create user collection
[2021-02-11T13:01:37.764] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:03:15.696] [ERROR] main -  [ERROR] [database]: could not create user collection
[2021-02-11T13:03:15.700] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:03:26.339] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:03:26.343] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:03:37.132] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:03:37.136] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:05:03.989] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:05:03.992] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:05:43.392] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:05:43.395] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:08:01.542] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:08:01.544] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:09:31.701] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:09:31.703] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:09:39.159] [ERROR] main -  [ERROR] [database]: could not create user collection TypeError: Cannot read property 'success' of undefined
[2021-02-11T13:09:39.162] [ERROR] main -  [ERROR] [database]: could not create posts collection TypeError: Cannot read property 'success' of undefined
